Factor Name,Category,Score
"Keywords in Headings (H1, H2, etc) Across Entire Website",Local Pack/Maps,92
Business Title in Anchor Text of Inbound Links to Domain,Local Pack/Maps,92
"Consistency of Citations on Data Aggregators (Infogroup, Localeze, Foursquare/Factual)",Local Pack/Maps,91
"Presence of ""Identifies as"" Attributes on GBP",Local Pack/Maps,90
Quantity of Reviews with Videos,Local Pack/Maps,90
Volume of Quality Content on Entire Website,Local Pack/Maps,90
Recency of Photos Uploaded to GBP,Local Pack/Maps,89
Keywords in GBP Products,Local Pack/Maps,89
Enhancement/Completeness of Citations,Local Pack/Maps,88
Keywords in GBP Landing Page URL,Local Pack/Maps,87
Business Title in Anchor Text of Inbound Links to GBP Landing Page URL,Local Pack/Maps,87
Relevancy of Videos to Categories,Local Pack/Maps,86
Loadtime of GBP Landing Page,Local Pack/Maps,85
Quantity of Photos on GBP,Local Pack/Maps,84
Diversity of Anchor Text to Domain,Local Pack/Maps,84
Age of Business (GBP Opening Date),Local Pack/Maps,82
Recency of Videos Uploaded to GBP,Local Pack/Maps,82
"Quantity of Reviews by Authority Reviewers (e.g. Yelp Elite, Google Local Guides, etc)",Local Pack/Maps,82
Volume of Content on GBP Landing Page,Local Pack/Maps,82
Length of Dwell Time on GBP,Local Pack/Maps,81
Keywords in Text Surrounding Links to GBP Landing Page,Local Pack/Maps,80
Presence of Crowd Sourced Attributes,Local Pack/Maps,79
Diversity of Third-Party Sites on Which Reviews are Present,Local Pack/Maps,79
Quantity of Reviews on Industry-Specific Sites,Local Pack/Maps,79
Presence of Business on Expert Curated Best of and Similar Lists,Local Pack/Maps,79
Freshness of Content Across Entire Website,Local Pack/Maps,78
Internal Links FROM GBP Landing Page to Other Pages of Website,Local Pack/Maps,78
"Quantity of Structured Citations (IYPs, Data Aggregators)",Local Pack/Maps,78
Freshness of Content on Service Pages,Local Pack/Maps,77
Local Area Code on GBP,Local Pack/Maps,76
Frequency of Owner/Manager Activity,Local Pack/Maps,76
High Numerical Third-Party Ratings (e.g. 4-5),Local Pack/Maps,76
"Quantity of Unstructured Citations (Newspaper Articles, Blog Posts)",Local Pack/Maps,76
Keywords in Text Surrounding Links to Domain,Local Pack/Maps,75
Presence of Place Topics Matching Keywords,Local Pack/Maps,74
NAP in Schema/JSON-LD on GBP Landing Page URL,Local Pack/Maps,73
"Quantity of Third-Party Traditional Reviews (e.g. Yelp, TripAdvisor, Yellowpages, etc)",Local Pack/Maps,72
Length of Dwell Time on GBP Landing Page,Local Pack/Maps,72
Quantity of Videos on GBP,Local Pack/Maps,71
Presence of Owner Responses to Most Reviews,Local Pack/Maps,70
Consistency of Citations on Other Citation Sources,Local Pack/Maps,70
Keywords in GBP Service Descriptions,Local Pack/Maps,69
Embedded Google Map for Location on GBP Landing Page,Local Pack/Maps,69
Quantity of Unlinked Brand Mentions,Local Pack/Maps,69
"Scannable Content Structure Across Entire Website (headings, bullet points, images, etc)",Local Pack/Maps,68
Click-Through Rate from Organic Search Results,Local Pack/Maps,68
Keywords in Third-Party Reviews,Local Pack/Maps,67
Quantity of Reviews with Answers to Review Questions,Local Pack/Maps,67
Social Profiles Are Linked to GBP,Local Pack/Maps,66
Proper Site Architecture Organized Into Topic Areas,Local Pack/Maps,66
BBB Accredited,Local Pack/Maps,66
Presence of FAQs on GBP Landing Page,Local Pack/Maps,65
Keywords in Text Surrounding Unlinked Brand Mentions,Local Pack/Maps,65
Presence of Products Added to GBP via NMX,Local Pack/Maps,64
Loadtime of Pages Across Entire Website,Local Pack/Maps,64
Quantity of Bookings Through Google Booking Partners,Local Pack/Maps,64
Number of Bookings Through GBP Booking Feature,Local Pack/Maps,63
"Quantity of Third-Party Unstructured Reviews (e.g. blogs, newspapers, magazines)",Local Pack/Maps,63
Presence of FAQs on Service Pages,Local Pack/Maps,61
Comprehensive Google Q&A Section with Owner-Seeded FAQs,Local Pack/Maps,60
Keywords in URLs Across Entire Website,Local Pack/Maps,60
Matching Google Account Domain to GBP Landing Page Domain,Local Pack/Maps,58
Quantity of Clicks on WhatsApp / SMS,Local Pack/Maps,57
Presence of Appointment URL,Local Pack/Maps,56
Presence of Social Media Updates on GBP,Local Pack/Maps,56
Frequency of Google Posts/Updates,Local Pack/Maps,55
Presence of 360 Tours / Immersive View,Local Pack/Maps,55
Keywords in GBP Landing Page Meta Description,Local Pack/Maps,55
Sustained Output of Content Over Time (rather than bursts),Local Pack/Maps,55
Setting Service Areas in GBP,Local Pack/Maps,54
Quanitity of Reactions to Photos/Videos,Local Pack/Maps,54
Keywords in Google Q&A,Local Pack/Maps,54
Keywords in Image ALT attributes on GBP Landing Page,Local Pack/Maps,54
"Quantity of Engagement Signals on Website (scrolling pages, clicking on things, etc)",Local Pack/Maps,54
Quantity of Social Media Users Mentioning The Business,Local Pack/Maps,53
GBP Booking Feature is Enabled,Local Pack/Maps,51
Quantity of Reactions to Reviews,Local Pack/Maps,50
Keywords in Google Posts/Updates,Local Pack/Maps,49
Website Content Marked Up in Schema,Local Pack/Maps,49
In-store visits tracked by third-party beacon or location detection technology,Local Pack/Maps,49
Quantity of Products on GBP,Local Pack/Maps,47
"Presence of Visible Keyword Text on Photos (overlay, not metadata)",Local Pack/Maps,46
Quantity of Transactions Identified Through Credit Card Partners,Local Pack/Maps,45
Quantity of Questions Asked in Google Q&A,Local Pack/Maps,44
Recency of Posts on Social Profiles,Local Pack/Maps,44
Quantity of Google Posts/Updates,Local Pack/Maps,43
Keywords in Image ALT attributes Across Entire Website,Local Pack/Maps,43
Keywords in Image Filenames on GBP Landing Page,Local Pack/Maps,43
Keywords in GBP Description,Local Pack/Maps,41
Engagement on Social Profiles,Local Pack/Maps,40
Quality of Posts on Social Profiles,Local Pack/Maps,38
Whatsapp/SMS is Enabled,Local Pack/Maps,37
Keywords in Image Filenames Across Entire Website,Local Pack/Maps,34
Linking Out to Authority Topically Relevant Sites,Local Pack/Maps,34
Sum of Transactions Identified Through Credit Card Partners,Local Pack/Maps,34
Frequency of Posts on Social Profiles,Local Pack/Maps,34
Keywords in Meta Descriptions Across Entire Website,Local Pack/Maps,33
Quantity of Posts on Social Profiles,Local Pack/Maps,32
Presence of Keywords in Image Metadata Fields,Local Pack/Maps,30
Keywords in Owner Responses to Reviews,Local Pack/Maps,28
Presence of XML Sitemap,Local Pack/Maps,28
Length of Title Tag,Local Pack/Maps,26
"Participation in Adwords, Adwords Express, Hotel Finder, or other paid Google products",Local Pack/Maps,26
Follower Count on Social Profiles,Local Pack/Maps,25
Presence of Geo-tagged Photos,Local Pack/Maps,23
